species	taxid	genus	subfamily	family	superfamily	infraorder	suborder	order	subclass	class	subphylum	phylum	GC_timing	GC_mech	GC_mech_evidence
Bopyroides hippolytes	398854	Bopyroides		Bopyridae	Bopyridoidea		Epicaridea	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	3	IND	
Bradysia coprophila	38358	Bradysia		Sciaridae	Sciaroidea	Bibionomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Byasa alcinous alcinous	3047439	Byasa	Papilioninae	Papilionidae	Papilionoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Bythotrephes longimanus	77748	Bythotrephes		Cercopagididae		Onychopoda	Cladocera	Diplostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	1	GP	GP_obs
Calligrapha multipunctata	216187	Calligrapha	Chrysomelinae	Chrysomelidae	Chrysomeloidea	Cucujiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Calliphora vicina	7373	Calliphora	Calliphorinae	Calliphoridae	Oestroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Callosobruchus maculatus	64391	Callosobruchus	Bruchinae	Chrysomelidae	Chrysomeloidea	Cucujiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Camponotus floridanus	104421	Camponotus	Formicinae	Formicidae	Formicoidea	Aculeata	Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Carausius morosus	7022	Carausius	Lonchodinae	Lonchodidae		Anareolatae	Verophasmatodea	Phasmatodea	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Caridina laevis		Cardina		Atyidae				Decapoda		Malacostraca	Crustacea	Arthropoda	3	IND	
Cheyletus eruditus		Cheyletus		Cheyletidae				Trombidiformes		Arachnida	Chelicerata	Arthropoda	3	IND	
Chironomus confinis		Chironomus		Chironomidae				Diptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Chironomus sp.	7152	Chironomus	Chironominae	Chironomidae	Chironomoidea	Culicomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	
Clogmia albipunctata	85120	Clogmia	Psychodinae	Psychodidae	Psychodoidea	Psychodomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	IND_exp
Coeloides vancouverensis		Coeloides		Braconidae				Hymenoptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Conocephalus brevipennis	1720644	Conocephalus	Conocephalinae	Tettigoniidae	Tettigonioidea	Tettigoniidea	Ensifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Copidosoma floridanum	29053	Copidosoma	Encyrtinae	Encyrtidae	Chalcidoidea	Proctotrupomorpha	Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Cosmoconus meridionator	494146	Cosmoconus	Tryphoninae	Ichneumonidae	Ichneumonoidea		Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Ctenocephalides felis	7515	Ctenocephalides	Archaeopsyllinae	Pulicidae	Pulicoidea		Pulicomorpha	Siphonaptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	
Culex quinquefasciatus	7176	Culex	Culicinae	Culicidae	Culicoidea	Culicomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Culiseta inornata	704160	Culiseta	Culicinae	Culicidae	Culicoidea	Culicomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Cyathura polita	1857755	Cyathura		Anthuridae			Anthuridea	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	3	IND	
Daphnia magna	35525	Daphnia		Daphniidae		Anomopoda	Cladocera	Diplostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	1	GP	GP_obs
Dermestes frischii	452470	Dermestes	Dermestinae	Dermestidae	Bostrichoidea	Bostrichiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	GP	GP_obs
Drosophila melanogaster	7227	Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Endoclita signifer	1820040	Endoclita		Hepialidae	Hepialoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Eoperipatus weldoni		Eoperipatus		Peripatidae				Euonychophora		Udeonychophora		Onychophora	3	IND	
Epiophlebia superstes	126247	Epiophlebia		Epiophlebiidae		Anisozygoptera	Epiprocta	Odonata	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Epiperipatus biolleyi	172520	Epiperipatus		Peripatidae				Euonychophora		Udeonychophora		Onychophora	3	IND	
Epiphyas postvittana	65032	Epiphyas	Tortricinae	Tortricidae	Tortricoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Forficula auricularia	13068	Forficula		Forficulidae	Forficuloidea	Epidermaptera	Neodermaptera	Dermaptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Gammarus pulex	52641	Gammarus		Gammaridae	Gammaroidea	Gammarida	Senticaudata	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Glomeris marginata	62006	Glomeris		Glomeridae				Glomerida	Pentazonia	Diplopoda	Myriapoda	Arthropoda	3	IND	
Gryllus bimaculatus	6999	Gryllus	Gryllinae	Gryllidae	Grylloidea	Gryllidea	Ensifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	IND_exp
Gryllus campestris	58607	Gryllus	Gryllinae	Gryllidae	Grylloidea	Gryllidea	Ensifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Habrobracon hebetor	69819	Habrobracon	Braconinae	Braconidae	Ichneumonoidea		Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Hanseniella agilis		Hanseniella		Scutigerellidae				Cephalostigmata		Symphyla	Myriapoda	Arthropoda	3	IND	
Haplothrips verbasci	1720823	Haplothrips	Phlaeothripinae	Phlaeothripidae	Phlaeothripoidea		Tubulifera	Thysanoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Helicoverpa zea	7113	Helicoverpa	Heliothinae	Noctuidae	Noctuoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Hemimysis lamornae	1592301	Hemimysis	Mysinae	Mysidae				Mysida	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Heterophrynus pumilio		Heterophrynus		Phrynidae				Amblypygi		Arachnida	Chelicerata	Arthropoda	3	IND	
Hypsibius dujardini	232323	Hypsibius		Hypsibiidae	Hypsibioidea			Parachela		Eutardigrada		Tardigrada	2	IND	
Icerya purchasi	249532	Icerya		Monophlebidae	Coccoidea		Sternorrhyncha	Hemiptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Idotea granulosa	119199	Idotea		Idoteidae			Valvifera	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Idotea neglecta	2874294	Idotea		Idoteidae			Valvifera	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
